date,meantemp,humidity
2017-01-01,15.91304347826087,85.8695652173913
2017-01-02,18.5,77.22222222222223
2017-01-03,17.11111111111111,81.8888888888889
2017-01-04,18.7,70.05
2017-01-05,18.38888888888889,74.94444444444444
2017-01-06,19.318181818181817,79.31818181818181
2017-01-07,14.708333333333336,95.83333333333331
2017-01-08,15.68421052631579,83.52631578947368
2017-01-09,14.571428571428573,80.80952380952381
2017-01-10,12.111111111111109,71.94444444444444
2017-01-11,11.0,72.1111111111111
2017-01-12,11.789473684210524,74.57894736842105
2017-01-13,13.235294117647056,67.05882352941177
2017-01-14,13.2,74.28
2017-01-15,16.434782608695652,72.56521739130434
2017-01-16,14.65,78.45
2017-01-17,11.722222222222221,84.44444444444444
2017-01-18,13.041666666666664,78.33333333333333
2017-01-19,14.61904761904762,75.14285714285714
2017-01-20,15.26315789473684,66.47368421052633
2017-01-21,15.391304347826088,70.8695652173913
2017-01-22,18.44,76.24
2017-01-23,18.11764705882353,76.0
2017-01-24,18.347826086956523,68.1304347826087
2017-01-25,21.0,69.96
2017-01-26,16.178571428571427,91.64285714285714
2017-01-27,16.5,77.04166666666667
2017-01-28,14.863636363636365,82.77272727272727
2017-01-29,15.666666666666664,81.77777777777777
2017-01-30,16.444444444444443,77.55555555555556
2017-01-31,16.125,76.0
2017-02-01,15.25,78.625
2017-02-02,17.09090909090909,66.54545454545455
2017-02-03,15.636363636363635,78.18181818181819
2017-02-04,18.7,77.6
2017-02-05,18.63157894736842,77.63157894736842
2017-02-06,16.88888888888889,69.66666666666667
2017-02-07,15.125,63.75
2017-02-08,15.7,68.4
2017-02-09,15.375,68.375
2017-02-10,14.666666666666664,71.77777777777777
2017-02-11,15.625,64.0
2017-02-12,16.25,70.375
2017-02-13,16.333333333333332,67.0
2017-02-14,16.875,65.5
2017-02-15,17.571428571428573,67.71428571428571
2017-02-16,20.25,56.75
2017-02-17,21.3,64.4
2017-02-18,21.125,70.75
2017-02-19,22.363636363636363,66.0909090909091
2017-02-20,23.375,60.125
2017-02-21,21.83333333333333,69.41666666666667
2017-02-22,19.125,57.125
2017-02-23,18.625,42.875
2017-02-24,19.125,40.375
2017-02-25,19.0,50.42857142857143
2017-02-26,18.75,59.0
2017-02-27,19.875,58.375
2017-02-28,23.33333333333333,51.66666666666666
2017-03-01,24.461538461538463,47.92307692307693
2017-03-02,23.75,54.25
2017-03-03,20.5,42.5
2017-03-04,19.125,43.125
2017-03-05,19.75,41.25
2017-03-06,20.0,42.444444444444436
2017-03-07,22.625,41.5
2017-03-08,21.545454545454547,52.72727272727273
2017-03-09,20.785714285714285,69.07142857142857
2017-03-10,19.9375,67.75
2017-03-11,18.53333333333333,60.4
2017-03-12,17.375,56.625
2017-03-13,17.444444444444443,49.33333333333334
2017-03-14,18.0,56.33333333333334
2017-03-15,19.875,54.75
2017-03-16,24.0,49.2
2017-03-17,20.9,59.7
2017-03-18,24.69230769230769,46.30769230769231
2017-03-19,24.66666666666667,52.27777777777778
2017-03-20,23.33333333333333,54.66666666666666
2017-03-21,25.0,49.0
2017-03-22,27.25,45.0
2017-03-23,28.0,49.75
2017-03-24,28.91666666666667,37.66666666666666
2017-03-25,26.5,39.375
2017-03-26,29.1,37.1
2017-03-27,29.5,38.625
2017-03-28,29.88888888888889,40.66666666666666
2017-03-29,31.0,34.5
2017-03-30,29.285714285714285,36.857142857142854
2017-03-31,30.625,37.625
2017-04-01,31.375,35.125
2017-04-02,29.75,33.75
2017-04-03,30.5,29.75
2017-04-04,30.93333333333333,31.86666666666667
2017-04-05,29.23076923076923,46.0
2017-04-06,31.222222222222218,26.0
2017-04-07,27.0,29.875
2017-04-08,25.625,29.375
2017-04-09,27.125,21.125
2017-04-10,27.857142857142854,19.428571428571427
2017-04-11,29.25,17.75
2017-04-12,29.25,26.0
2017-04-13,29.66666666666667,29.11111111111111
2017-04-14,30.5,37.625
2017-04-15,31.222222222222218,30.444444444444446
2017-04-16,31.0,34.25
2017-04-17,32.55555555555556,38.444444444444436
2017-04-18,34.0,27.33333333333333
2017-04-19,33.5,24.125
2017-04-20,34.5,27.5
2017-04-21,34.25,39.375
2017-04-22,32.9,40.9
2017-04-23,32.875,27.5
2017-04-24,32.0,27.142857142857146
